,date,moonPhase
749,2017-07-03,0.33
750,2017-07-04,0.36
751,2017-07-05,0.39
752,2017-07-06,0.42
753,2017-07-07,0.45
754,2017-07-08,0.48
755,2017-07-09,0.52
756,2017-07-10,0.54
757,2017-07-11,0.58
758,2017-07-12,0.61
759,2017-07-13,0.64
760,2017-07-14,0.68
761,2017-07-15,0.71
762,2017-07-16,0.75
763,2017-07-17,0.79
764,2017-07-18,0.82
765,2017-07-19,0.86
766,2017-07-20,0.9
767,2017-07-21,0.94
768,2017-07-22,0.97
769,2017-07-23,0.01
770,2017-07-24,0.05
771,2017-07-25,0.08
772,2017-07-26,0.12
773,2017-07-27,0.15
774,2017-07-28,0.19
775,2017-07-29,0.22
776,2017-07-30,0.25
777,2017-07-31,0.28
778,2017-08-01,0.31
779,2017-08-02,0.34
780,2017-08-03,0.37
781,2017-08-04,0.4
782,2017-08-05,0.43
783,2017-08-06,0.46
784,2017-08-07,0.49
785,2017-08-08,0.53
786,2017-08-09,0.56
787,2017-08-10,0.59
788,2017-08-11,0.63
789,2017-08-12,0.66
790,2017-08-13,0.7
791,2017-08-14,0.74
792,2017-08-15,0.78
793,2017-08-16,0.81
794,2017-08-17,0.85
795,2017-08-18,0.89
796,2017-08-19,0.93
797,2017-08-20,0.96
798,2017-08-21,0.0
799,2017-08-22,0.04
800,2017-08-23,0.07
801,2017-08-24,0.1
802,2017-08-25,0.14
803,2017-08-26,0.17
804,2017-08-27,0.2
805,2017-08-28,0.23
806,2017-08-29,0.26
807,2017-08-30,0.29
808,2017-08-31,0.32
809,2017-09-01,0.35
810,2017-09-02,0.38
811,2017-09-03,0.41
812,2017-09-04,0.44
813,2017-09-05,0.48
814,2017-09-06,0.51
815,2017-09-07,0.54
816,2017-09-08,0.58
817,2017-09-09,0.62
818,2017-09-10,0.65
819,2017-09-11,0.69
820,2017-09-12,0.73
821,2017-09-13,0.76
822,2017-09-14,0.8
823,2017-09-15,0.84
824,2017-09-16,0.88
825,2017-09-17,0.91
826,2017-09-18,0.95
827,2017-09-19,0.98
828,2017-09-20,0.02
829,2017-09-21,0.05
830,2017-09-22,0.09
831,2017-09-23,0.12
832,2017-09-24,0.15
833,2017-09-25,0.18
834,2017-09-26,0.21
835,2017-09-27,0.24
836,2017-09-28,0.27
837,2017-09-29,0.3
838,2017-09-30,0.33
839,2017-10-01,0.36
840,2017-10-02,0.39
841,2017-10-03,0.42
842,2017-10-04,0.46
843,2017-10-05,0.49
844,2017-10-06,0.53
845,2017-10-07,0.57
846,2017-10-08,0.6
847,2017-10-09,0.64
848,2017-10-10,0.68
849,2017-10-11,0.72
850,2017-10-12,0.75
851,2017-10-13,0.79
852,2017-10-14,0.83
853,2017-10-15,0.86
854,2017-10-16,0.9
855,2017-10-17,0.93
856,2017-10-18,0.97
857,2017-10-19,0.01
858,2017-10-20,0.03
859,2017-10-21,0.06
860,2017-10-22,0.09
861,2017-10-23,0.12
862,2017-10-24,0.15
863,2017-10-25,0.18
864,2017-10-26,0.21
865,2017-10-27,0.24
866,2017-10-28,0.28
867,2017-10-29,0.31
868,2017-10-30,0.34
869,2017-10-31,0.37
870,2017-11-01,0.41
871,2017-11-02,0.44
872,2017-11-03,0.47
873,2017-11-04,0.52
874,2017-11-05,0.55
875,2017-11-06,0.59
876,2017-11-07,0.63
877,2017-11-08,0.67
878,2017-11-09,0.7
879,2017-11-10,0.74
880,2017-11-11,0.78
881,2017-11-12,0.81
882,2017-11-13,0.85
883,2017-11-14,0.88
884,2017-11-15,0.91
885,2017-11-16,0.95
886,2017-11-17,0.97
887,2017-11-18,0.02
888,2017-11-19,0.04
889,2017-11-20,0.07
890,2017-11-21,0.1
891,2017-11-22,0.13
892,2017-11-23,0.16
893,2017-11-24,0.19
894,2017-11-25,0.22
895,2017-11-26,0.25
896,2017-11-27,0.29
897,2017-11-28,0.32
898,2017-11-29,0.35
899,2017-11-30,0.39
900,2017-12-01,0.43
901,2017-12-02,0.46
902,2017-12-03,0.51
903,2017-12-04,0.54
904,2017-12-05,0.58
905,2017-12-06,0.61
906,2017-12-07,0.65
907,2017-12-08,0.69
908,2017-12-09,0.72
909,2017-12-10,0.76
910,2017-12-11,0.79
911,2017-12-12,0.83
912,2017-12-13,0.86
913,2017-12-14,0.89
914,2017-12-15,0.92
915,2017-12-16,0.95
916,2017-12-17,0.98
917,2017-12-18,0.02
