date,date,Aggravated Assault,Aircraft,Arson,Assembly or Gathering Violations,Auto Theft,Auto Theft Recovery,Ballistics,Biological Threat,Bomb Hoax,Burglary - No Property Taken,Commercial Burglary,Confidence Games,Counterfeiting,Criminal Harassment,Disorderly Conduct,Drug Violation,Embezzlement,Evading Fare,Explosives,Fire Related Reports,Firearm Discovery,Firearm Violations,Fraud,Gambling,HOME INVASION,HUMAN TRAFFICKING,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Harassment,Harbor Related Incidents,Homicide,INVESTIGATE PERSON,Investigate Person,Investigate Property,Landlord/Tenant Disputes,Larceny,Larceny From Motor Vehicle,License Plate Related Incidents,License Violation,Liquor Violation,Manslaughter,Medical Assistance,Missing Person Located,Missing Person Reported,Motor Vehicle Accident Response,Offenses Against Child / Family,Operating Under the Influence,Other,Other Burglary,Phone Call Complaints,Police Service Incidents,Prisoner Related Incidents,Property Found,Property Lost,Property Related Damage,Prostitution,Recovered Stolen Property,Residential Burglary,Restraining Order Violations,Robbery,Search Warrants,Service,Simple Assault,Towed,Vandalism,Verbal Disputes,Violations,Warrant Arrests,moonPhase,total
2015-07-19,2015-07-19,5.0,,,,8.0,,2.0,,,,,2.0,1.0,1.0,5.0,5.0,,,,1.0,2.0,,2.0,,,,,1.0,,,,8.0,7.0,1.0,14.0,16.0,,6.0,,,13.0,5.0,2.0,36.0,1.0,1.0,13.0,,,,,2.0,8.0,1.0,,,3.0,,6.0,,1.0,18.0,9.0,23.0,9.0,6.0,3.0,0.12,247
2015-07-20,2015-07-20,5.0,,,,9.0,,1.0,,,,,1.0,3.0,1.0,1.0,28.0,,,,2.0,,4.0,2.0,,,,,3.0,,1.0,,15.0,4.0,1.0,20.0,7.0,2.0,,,,23.0,4.0,1.0,27.0,1.0,1.0,16.0,1.0,,4.0,,,9.0,1.0,,1.0,7.0,1.0,6.0,,,17.0,6.0,14.0,5.0,11.0,12.0,0.15,278
2015-07-21,2015-07-21,6.0,,,1.0,5.0,2.0,3.0,,,,1.0,3.0,4.0,,,25.0,,,,,,1.0,3.0,,,,,2.0,1.0,,,10.0,2.0,1.0,39.0,5.0,1.0,,1.0,,22.0,7.0,2.0,21.0,,1.0,17.0,2.0,,4.0,,6.0,8.0,,,2.0,14.0,,4.0,,,15.0,2.0,6.0,6.0,12.0,9.0,0.18,276
2015-07-22,2015-07-22,4.0,,,,5.0,1.0,,,,,,4.0,2.0,,4.0,29.0,,,,,1.0,1.0,6.0,,,,,,1.0,,,17.0,1.0,1.0,32.0,11.0,1.0,,,,13.0,7.0,4.0,23.0,1.0,,18.0,2.0,,5.0,,5.0,7.0,1.0,2.0,1.0,6.0,2.0,3.0,1.0,,9.0,5.0,9.0,10.0,5.0,9.0,0.21,269
2015-07-23,2015-07-23,11.0,,,2.0,3.0,,,,1.0,,2.0,2.0,3.0,1.0,4.0,21.0,,,,3.0,,8.0,4.0,,,,,2.0,,,,18.0,2.0,,34.0,12.0,1.0,,1.0,,13.0,1.0,1.0,28.0,1.0,,18.0,1.0,,5.0,,2.0,8.0,1.0,3.0,2.0,5.0,2.0,2.0,1.0,,17.0,3.0,18.0,10.0,11.0,2.0,0.24,290
2015-07-24,2015-07-24,13.0,,,1.0,7.0,1.0,1.0,,1.0,,1.0,3.0,3.0,1.0,2.0,19.0,,,,4.0,,2.0,8.0,,,,,,1.0,,,11.0,6.0,,34.0,12.0,,,,,14.0,5.0,5.0,37.0,2.0,,12.0,1.0,,6.0,,2.0,10.0,1.0,,4.0,7.0,1.0,7.0,,,19.0,7.0,15.0,1.0,9.0,5.0,0.27,301
2015-07-25,2015-07-25,10.0,,,1.0,5.0,2.0,,,,,3.0,2.0,1.0,,3.0,11.0,,1.0,,3.0,,3.0,8.0,,,,,1.0,,,,8.0,8.0,,23.0,8.0,,,,,12.0,4.0,3.0,32.0,,,18.0,,,1.0,,4.0,10.0,,1.0,,4.0,1.0,9.0,2.0,,22.0,13.0,19.0,9.0,3.0,1.0,0.3,269
2015-07-26,2015-07-26,5.0,,,,9.0,,,,,,1.0,1.0,2.0,1.0,1.0,6.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,6.0,4.0,,16.0,8.0,,1.0,,,11.0,4.0,2.0,26.0,3.0,,11.0,,,4.0,1.0,4.0,4.0,1.0,,3.0,6.0,1.0,7.0,,,13.0,4.0,9.0,7.0,4.0,6.0,0.33,197
2015-07-27,2015-07-27,9.0,,,2.0,7.0,3.0,,,,,5.0,5.0,4.0,,2.0,19.0,,,,,1.0,4.0,4.0,,,,,1.0,,,,10.0,7.0,,38.0,8.0,1.0,1.0,,,11.0,3.0,1.0,31.0,,,17.0,1.0,,1.0,,4.0,7.0,1.0,,1.0,10.0,,7.0,1.0,,11.0,8.0,13.0,7.0,8.0,8.0,0.36,282
2015-07-28,2015-07-28,4.0,,,1.0,8.0,,,,,,,7.0,1.0,,,19.0,1.0,,,2.0,,1.0,5.0,,,,,2.0,,1.0,,9.0,3.0,1.0,23.0,15.0,1.0,1.0,1.0,,22.0,3.0,4.0,20.0,2.0,1.0,17.0,,,5.0,,3.0,8.0,,3.0,2.0,6.0,1.0,6.0,1.0,,17.0,8.0,13.0,7.0,5.0,4.0,0.4,264
2015-07-29,2015-07-29,10.0,,,,2.0,,1.0,,,,,4.0,,,3.0,26.0,,2.0,,1.0,,1.0,5.0,,,,,2.0,,,,11.0,6.0,,25.0,7.0,2.0,3.0,2.0,,15.0,3.0,1.0,35.0,,,14.0,,,4.0,1.0,3.0,10.0,,1.0,1.0,7.0,6.0,2.0,1.0,,17.0,9.0,15.0,5.0,8.0,4.0,0.43,275
2015-07-30,2015-07-30,6.0,,,1.0,3.0,1.0,1.0,,,,2.0,2.0,1.0,,1.0,24.0,1.0,1.0,,3.0,1.0,2.0,5.0,,,,,1.0,,,,16.0,7.0,1.0,26.0,12.0,,1.0,2.0,,15.0,2.0,2.0,33.0,1.0,,12.0,1.0,,4.0,1.0,2.0,4.0,,,,9.0,1.0,4.0,,,7.0,6.0,17.0,6.0,11.0,7.0,0.47,266
2015-07-31,2015-07-31,5.0,,,,7.0,2.0,1.0,,,,,4.0,1.0,,4.0,11.0,,,,5.0,2.0,1.0,11.0,,,,,3.0,1.0,,,12.0,5.0,1.0,23.0,10.0,1.0,1.0,2.0,,16.0,1.0,2.0,37.0,,,20.0,2.0,,1.0,1.0,2.0,8.0,4.0,,4.0,7.0,1.0,8.0,,,15.0,11.0,11.0,10.0,7.0,8.0,0.51,289
2015-08-01,2015-08-01,4.0,,,2.0,6.0,,,,,,1.0,4.0,,,8.0,11.0,,,1.0,2.0,,,7.0,,,,,2.0,,,,14.0,8.0,2.0,23.0,6.0,,1.0,,,15.0,3.0,3.0,34.0,,3.0,25.0,,,2.0,,1.0,10.0,1.0,1.0,1.0,6.0,3.0,3.0,,1.0,17.0,10.0,16.0,6.0,8.0,6.0,0.54,277
