,Date,Percent Illumination,Total Crimes,City
541,2016-06-25,77.0,174,
542,2016-06-26,67.0,184,
543,2016-06-27,56.0,173,
544,2016-06-28,45.0,137,
545,2016-06-29,34.0,183,
546,2016-06-30,23.0,186,
547,2016-07-01,14.0,189,
548,2016-07-02,7.0,171,
549,2016-07-03,2.0,175,
550,2016-07-04,0.0,195,
551,2016-07-05,1.0,187,
552,2016-07-06,4.0,188,
553,2016-07-07,9.0,182,
554,2016-07-08,16.0,164,
555,2016-07-09,24.0,174,
556,2016-07-10,33.0,170,
557,2016-07-11,42.0,157,
558,2016-07-12,52.0,163,
559,2016-07-13,61.0,195,
560,2016-07-14,70.0,201,
561,2016-07-15,78.0,176,
562,2016-07-16,86.0,165,
563,2016-07-17,92.0,174,
564,2016-07-18,97.0,179,
565,2016-07-19,99.0,180,
566,2016-07-20,100.0,197,
567,2016-07-21,98.0,193,
568,2016-07-22,94.0,199,
569,2016-07-23,88.0,160,
570,2016-07-24,80.0,156,
571,2016-07-25,70.0,184,
572,2016-07-26,59.0,178,
573,2016-07-27,47.0,203,
574,2016-07-28,36.0,205,
575,2016-07-29,25.0,202,
576,2016-07-30,16.0,197,
577,2016-07-31,9.0,197,
578,2016-08-01,3.0,206,
579,2016-08-02,1.0,176,
580,2016-08-03,0.0,188,
581,2016-08-04,2.0,193,
582,2016-08-05,6.0,198,
583,2016-08-06,12.0,173,
584,2016-08-07,19.0,202,
585,2016-08-08,27.0,190,
586,2016-08-09,36.0,174,
587,2016-08-10,45.0,196,
588,2016-08-11,54.0,198,
589,2016-08-12,64.0,219,
590,2016-08-13,73.0,187,
591,2016-08-14,81.0,163,
592,2016-08-15,88.0,171,
593,2016-08-16,94.0,200,
594,2016-08-17,98.0,211,
595,2016-08-18,100.0,205,
596,2016-08-19,99.0,200,
597,2016-08-20,96.0,179,
598,2016-08-21,90.0,177,
599,2016-08-22,82.0,195,
600,2016-08-23,72.0,198,
601,2016-08-24,61.0,203,
602,2016-08-25,49.0,191,
603,2016-08-26,38.0,204,
604,2016-08-27,28.0,195,
605,2016-08-28,18.0,183,
